name1,name2,direction,cas,note
"Copper, Cu 6.8E-1%, in mixed ore","Copper, Cu 6.8E-1%, in mixed ore, in ground"
Cumene,Cumol
Cumene,methyl ethyl benzene
Curacron,Profenofos
CxHy aromatic,Cyclohexane
Cyanoacetic acid,Malonic mononitrile
DPX-Y6202-31,Quizalofop-p-ethyl
Dauerkultur ohne nähere Angaben,"Occupation, permanent crop"
Desmedipham,ethyl 3-phenylcarbamoyloxyphenylcarbamate
"Diaminomethanal, Carbamide",Urea
Diatomite,"Diatomite, in ground"
"Diatomite, in ground",Kieselgur
Diazinon,Dimpylatum
Dibutyl p-phthalat,"Phthalate, dibutyl-"
Dichlormonofluormethan,"Methane, dichlorofluoro-, HCFC-21"
Diclofop,HOE-021079
Diclofop,"2-[4-(2,4-Dichlorophenoxy)phenoxy]propanoic acid",,040843-25-2,IUPAC name of the acid; its methyl ester Diclofop-methyl is another substance
Dicrotophos,Phosphoric acid (E)-3-(dimethylamino)-1-methyl-3-oxo-1-propenyl dimethyl ester
Diflufenzopyr-sodium,"sodium 2-{(EZ)-1-[4-(3,5-difluorophenyl)semicarbazono]ethyl}nicotinate"
Dimethoate,"O,O-dimethyl S-methylcarbamoylmethyl phosphorodithioate"
Dimethyl malonate,"malonic acid dimethyl ester, propanedioic acid dimethyl ester"
Dimethyl p-phthalat,"Phthalate, dimethyl-"
Dinate,DSMA
Dinitrogen monoxide,Stickstoffdioxid
Dinitrogen monoxide,nitrous oxide
"Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin"
Dipropylthiocarbamic acid S-ethyl ester,EPTC
"Discarded fish, demersal","Discarded fish, demersal, to ocean"
"Discarded fish, pelagic","Discarded fish, pelagic, to ocean"
Disodium acid methane arsenate,DSMA
Disulfoton,"O,O-diethyl S-(2-(ethylthio)ethyl) phosphorodithioate"
Dithianon,Dithianone
Diurex,Diuron
Dodecanoic acid,Lauric acid
Dolomite,"Dolomite, in ground"
"Dolomite, in ground",kristallines Calciummagnesiumcarbonat
Dropp,Thidiazuron
Dysprosium,"Dysprosium, in ground"
EPTC,"N,N-dipropylthiocarbamic acid s ethyl ester"
Elemental carbon,"TOC, Total Organic Carbon"
Erbium,"Erbium, in ground"
Ethalfluralin,Ethalfuralin
Ethane thiol,Ethyl hydrosulfide
Ethane thiol,Ethyl mercaptan
Ethane thiol,Ethyl sulfhydrate
Ethane thiol,Mercaptoethane
"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",R134a
"Ethane, 1,1,1-trifluoro-, HFC-143a","Ethane, 1,1,2-trifluoro-, HFC-143"
"Ethane, 1,1,1-trifluoro-, HFC-143a",R143a
"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",R113
"Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b",R141b
"Ethane, 1,1-difluoro-, HFC-152a",R152a
"Ethane, 1,2-dichloro-",Ethylendichlorid
"Ethane, 1,2-dichloro-",Ethylene dichloride
"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114",R114
"Ethane, 1-chloro-1,1-difluoro-, HCFC-142b",R142b
"Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123",R123
"Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124",R124
"Ethane, chloro-",Monochloroethane
"Ethane, chloropentafluoro-, CFC-115",R115
"Ethane, hexafluoro-, HFC-116",R116
"Ethane, pentafluoro-, HFC-125",R125
"Ethaneamine, Monoethylamine, Aminoethane, 1-Aminoethane",Ethylamine
"Ethanol, 2-ethoxy-",Ethylene glycol monoethyl ether
Ethene,Ethylene,,000074-85-1,older name of the same molecule
"Ethene, chloro-",Chloroethylene,,000075-01-4,"older name of the same molecule, the vinyl chloride monomer and not its polymer"
"Ethene, tetrachloro-",Perchlorethylen
"Ethene, tetrachloro-",Tetrachloroethylene,,000127-18-4,older name of the same molecule
"Ethene, trichloro-",Trichlorethylen
"Ethene, trichloro-",Trichloroethylene,,000079-01-6,older name of the same molecule
Ethoprop,"O-ethyl S,S-dipropyl dithiophosphate"
Etridiazole,Tuban
Europium,"Europium, in ground"
Extensive landwirtschaftliche Nutzung von Grasland mit wenig oder keiner Düngung,"Occupation, pasture, man made, extensive"
Extensiver Obstbau,"Occupation, permanent crop, irrigated, extensive"
Extensiver Weinbau,"Occupation, permanent crop, non-irrigated, extensive"
Feldspar,"Feldspar, in ground"
Fenhexamid,"N-(2,3-dichloro-4-hydroxyphenyl)-1-methylcyclohexane-1-carboxamide"
Fenoxaprop-P ethyl ester,Fenoxaprop-p-ethyl
Fentin acetate,triphenyltin acetate
Floransulam,Florasulam
Fludioxonil,"Pyrrole-3-carbonitrile, 4-(2,2-difluoro-1,3-benzodioxol-4-yl)-"
Fluometuron,herbicide c-2059
Fluorine,"Fluorine, in ground"
"Fluorine, 4.5% in apatite, 3% in crude ore","Fluorine, 4.5% in apatite, 3% in crude ore, in ground"
Fluorochloridone,Flurochloridone
Fluorspar,"Fluorspar, in ground"
Flupyrsulfuron-methyl sodium,Flupyrsulfuron-methyl
Flutolanil,N-(3-(1-methylethoxy)phenyl)-2-(trifluoromethyl)benzamide
Formamide,"methanamide, carbamaldehyde"
Formate,"formate ion, methanoate ion"
Fosetyl-Al,Fosetyl-aluminium
Freon 10,"Methane, tetrachloro-, R-10"
Fuberidazole,VII/177
Fungaflor,Imazalil
Furan,Oxacyclopentadiene
Furan,furfuran
Für Deponierung von Bohrschlämmen,"Occupation, seabed, drilling and mining"
Gadolinium,"Gadolinium, in ground"
Gallium,"Gallium, in ground"
Gangue,"Gangue, in ground"
"Gangue, bauxite","Gangue, bauxite, in ground"
Germane,"Germanium, in ground"
Germanium,"Germanium, in ground"
Glimmer,"Vermiculite, in ground"
Glufosinate ammonium,Monoammonium 2-amino-4(hydroxymethylphosphinyl)butanoate
Glyphosate,N-(phosphonomethyl)glycine
Gold,"Gold, in ground"
"Gold, Au 1.0E-7%, in mixed ore","Gold, Au 1.0E-7%, in mixed ore, in ground"
"Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore","Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore, in ground"
"Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore","Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore, in ground"
"Gold, Au 1.8E-4%, in mixed ore","Gold, Au 1.8E-4%, in mixed ore, in ground"
